repeatNo, agentNo, agentID, agentType, agentTypeNo, time, fps, x, y, z, yaw 
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 0.100, 20.000, -61.540, -22.640, 1.545, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 0.100, 20.000, -1.930, 1.130, 1.545, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 0.200, 20.000, -61.540, -22.640, 1.198, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 0.200, 20.000, -1.930, 1.130, 1.198, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 0.300, 20.000, -61.540, -22.640, 0.753, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 0.300, 20.000, -1.930, 1.130, 0.753, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 0.400, 20.000, -61.540, -22.640, 0.211, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 0.400, 20.000, -1.930, 1.130, 0.211, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 0.500, 20.000, -61.538, -22.640, 0.036, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 0.500, 20.000, -1.932, 1.130, 0.036, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 0.600, 20.000, -61.537, -22.640, 0.060, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 0.600, 20.000, -1.933, 1.130, 0.060, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 0.700, 20.000, -61.537, -22.640, 0.083, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 0.700, 20.000, -1.933, 1.130, 0.083, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 0.800, 20.000, -61.538, -22.640, 0.101, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 0.800, 20.000, -1.932, 1.130, 0.101, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 0.900, 20.000, -61.538, -22.640, 0.112, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 0.900, 20.000, -1.932, 1.130, 0.112, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 1.000, 20.000, -61.538, -22.640, 0.119, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 1.000, 20.000, -1.932, 1.130, 0.119, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 1.100, 20.000, -61.538, -22.640, 0.124, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 1.100, 20.000, -1.932, 1.130, 0.124, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 1.200, 20.000, -61.538, -22.640, 0.126, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 1.200, 20.000, -1.932, 1.130, 0.126, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 1.300, 20.000, -61.538, -22.640, 0.127, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 1.300, 20.000, -1.932, 1.130, 0.127, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 1.400, 20.000, -61.538, -22.640, 0.128, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 1.400, 20.000, -1.932, 1.130, 0.128, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 1.500, 20.000, -61.538, -22.640, 0.129, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 1.500, 20.000, -1.932, 1.130, 0.129, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 1.600, 20.000, -61.538, -22.640, 0.129, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 1.600, 20.000, -1.932, 1.130, 0.129, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 1.700, 20.000, -61.538, -22.640, 0.129, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 1.700, 20.000, -1.932, 1.130, 0.129, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 1.800, 20.000, -61.538, -22.640, 0.129, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 1.800, 20.000, -1.932, 1.130, 0.129, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 1.900, 20.000, -61.538, -22.640, 0.129, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 1.900, 20.000, -1.932, 1.130, 0.129, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 2.000, 20.000, -61.538, -22.640, 0.129, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 2.000, 20.000, -1.932, 1.130, 0.129, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 2.100, 20.000, -61.538, -22.640, 0.129, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 2.100, 20.000, -1.932, 1.130, 0.129, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 2.200, 20.000, -61.538, -22.640, 0.129, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 2.200, 20.000, -1.932, 1.130, 0.129, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 2.300, 20.000, -61.538, -22.640, 0.129, 0.333
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 2.300, 20.000, -1.932, 1.130, 0.129, -2.768
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 2.400, 20.000, -61.514, -22.611, 0.130, 0.348
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 2.400, 20.000, -1.954, 1.100, 0.130, -2.754
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 2.500, 20.000, -61.395, -22.494, 0.131, 0.392
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 2.500, 20.000, -2.069, 0.978, 0.131, -2.709
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 2.600, 20.000, -61.150, -22.339, 0.131, 0.421
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 2.600, 20.000, -2.308, 0.813, 0.131, -2.680
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 2.700, 20.000, -60.823, -22.206, 0.131, 0.411
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 2.700, 20.000, -2.629, 0.667, 0.131, -2.690
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 2.800, 20.000, -60.471, -22.114, 0.130, 0.374
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 2.800, 20.000, -2.977, 0.561, 0.130, -2.727
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 2.900, 20.000, -60.121, -22.037, 0.130, 0.340
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 2.900, 20.000, -3.324, 0.470, 0.130, -2.761
